homoSapienGeneId	Human_Brain1	Human_Brain2	Human_Brain3	Human_Brain4	Human_Brain5	Human_Brain6	Human_Cerebellum1	Human_Cerebellum2	Chimpanzee_Brain_Male1	Chimpanzee_Brain_Male2	Chimpanzee_Brain_Male3	Chimpanzee_Brain_Male4	Chimpanzee_Brain_Male5	Chimpanzee_Brain_Female	Chimpanzee_Cerebellum_Male	Chimpanzee_Cerebellum_Female	Bonobo_Brain_Female1	Bonobo_Brain_Female2	Bonobo_Brain_Male	Bonobo_Cerebellum_Female	Bonobo_Cerebellum_Male	Gorilla_Brain_Female	Gorilla_Brain_Male	Gorilla_Cerebellum_Female	Gorilla_Cerebellum_Male	Orangutan_Brain_Male	Orangutan_Brain_Female	Orangutan_Cerebellum_Female	Macaque_Brain_Female	Macaque_Brain_Male1	Macaque_Brain_Male2	Macaque_Cerebellum_Female	Macaque_Cerebellum_Male	Mouse_Brain_Female	Mouse_Brain_Male1	Mouse_Brain_Male2	Mouse_Cerebellum_Female	Mouse_Cerebellum_Male1	Mouse_Cerebellum_Male2	Opossum_Brain_Female	Opossum_Brain_Male	Opossum_Cerebellum_Female	Opossum_Cerebellum_Male	Platypus_Brain_Female	Platypus_Brain_Male	Platypus_Cerebellum_Female	Platypus_Cerebellum_Male	Chicken_Brain_Female	Chicken_Brain_Male	Chicken_Cerebellum_Female	Chicken_Cerebellum_Male
ENSG00000103089	105103	22522	29246	114353	392549	16272	4638	44546	2858	11692	13273	3714	16571	2102	3439	3135	374	6820	6055	2803	4724	18041	18558	11273	7180	9592	5519	14234	9993	0	11729	4822	10486	46581	94321	11640	89772	32936	17917	13819	4312	5159	7864	42699	27280	15398	13024	12620	7118	12586	24820
ENSG00000170584	14838	6633	10128	2568	11607	807	10895	7285	1439	3233	2896	3482	4547	3160	2521	3099	1740	4724	9437	3476	3973	6113	2645	3755	3269	2863	5118	1990	684	0	1587	608	1028	10221	24645	4298	9494	3262	6687	7320	1745	2913	2556	15507	6334	9892	6722	9207	7473	5389	9280
ENSG00000118276	39553	29434	47136	12457	835	2229	44178	85179	12231	12108	15501	48101	25432	22308	60030	49172	14726	9036	123096	57015	81532	53214	18605	45777	21248	6119	17740	12166	22704	0	33258	46410	26564	162580	445327	80439	160496	68056	101580	321977	71626	68941	70595	44838	17112	25748	19878	44815	26051	28403	41929
ENSG00000117174	31598	17490	21241	8124	13634	1515	22909	20182	5775	8898	6530	10926	8479	25791	12566	28258	7933	17941	22123	23379	25744	22835	5771	15591	7611	7472	28273	17535	5099	0	6413	7579	4916	13758	40267	9403	30600	7105	28477	25334	6205	6473	7692	1734	375	828	903	2819	2031	2599	3968
ENSG00000100346	92781	57861	63970	68644	2494	19655	161948	142554	41813	16176	19842	51939	37083	28044	15145	96485	45087	7462	55615	28555	96027	61990	39859	139020	15675	27907	52193	87159	35419	0	70901	55497	59664	173379	550183	87586	182023	85627	171954	71362	11303	48655	50517	6408	10706	51861	50899	73663	34058	99084	106471
ENSG00000178662	83555	50775	110936	21173	3115	3148	16861	32790	5768	1138	3562	24704	8851	10777	3642	6348	8002	3971	50351	1137	4794	26012	8500	3895	1368	5659	15221	995	15052	0	31901	2763	1454	124033	328955	60229	78800	39713	37804	18214	1780	866	429	8601	10867	1779	1475	28618	20607	21724	19682
ENSG00000140983	76803	48844	51873	72679	80719	20372	131439	262315	64968	63234	51904	51524	63936	51616	89807	131395	149247	67453	49404	144630	147763	79664	86805	159963	88436	58379	63313	54518	40449	0	53221	53131	57609	97406	277307	59608	142607	69217	94968	66730	13401	73963	72886	19842	11566	24221	24955	15766	12139	18213	21371
ENSG00000139132	17260	18318	16519	3491	9609	759	2480	10241	1750	836	1731	3653	2216	3608	3800	8834	7795	4052	9071	1957	2868	7229	3253	1210	2491	3873	11219	3977	3725	0	7767	7976	3846	15908	34137	6595	22719	7771	19772	38387	4371	5251	5377	7903	5518	1970	1044	19628	14398	6727	7558
ENSG00000168234	9838	10137	12614	5107	682	380	1225	7916	1513	846	1693	4425	1978	5549	2433	7992	5073	1538	11034	1505	1254	9726	4726	3837	3775	1611	4547	3064	5934	0	5511	7477	7246	25429	66229	12662	31774	12744	22052	8328	1585	5466	4673	22503	14687	17924	12168	8822	6320	6801	7568
ENSG00000140025	6190	2500	3855	3707	3008	531	2564	7225	1061	1442	3124	3731	2330	2811	1889	6366	532	3015	3274	2803	2250	457	75	152	150	649	1626	1559	620	0	248	960	151	304	680	70	152	0	77	2258	589	384	220	704	167	200	75	2521	1041	755	678
